demo,pc_index,explained_var_ratio,loss,init_entropy,final_entropy,final_circ_std_bins,target_entropy,target_circ_std_bins,loss_broad_perbin,loss_sharp_perbin,frac_increase_sharp_over_broad,entropy_lambda,mean_perbin_entropy,trial_entropy,trial_circ_std_bins,target,final_far_mode_mass,target_far_mode_mass,candidate,PCA,KL,JS,Wasserstein,cand_entropy,cand_sigma,cand_shift_bins
basis,0,0.36693212389945984,,,,,,,,,,,,,,,,,,,,,,,,
basis,1,0.36693212389945984,,,,,,,,,,,,,,,,,,,,,,,,
basis,2,0.11520443856716156,,,,,,,,,,,,,,,,,,,,,,,,
basis,3,0.11520443856716156,,,,,,,,,,,,,,,,,,,,,,,,
basis,4,0.016708841547369957,,,,,,,,,,,,,,,,,,,,,,,,
basis,5,0.016708841547369957,,,,,,,,,,,,,,,,,,,,,,,,
basis,6,0.0011194428661838174,,,,,,,,,,,,,,,,,,,,,,,,
basis,7,0.0011194428661838174,,,,,,,,,,,,,,,,,,,,,,,,
basis,8,3.4649572626221925e-05,,,,,,,,,,,,,,,,,,,,,,,,
basis,9,3.46495580743067e-05,,,,,,,,,,,,,,,,,,,,,,,,
basis,10,4.950433662997966e-07,,,,,,,,,,,,,,,,,,,,,,,,
basis,11,4.950432526129589e-07,,,,,,,,,,,,,,,,,,,,,,,,
width_sweep,,,,,,,,,,,,,,,,,,,,0.10107507545053922,0.19308900833129883,0.05531036853790283,,,21.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.11632715569343664,0.2164773941040039,0.06207406520843506,,,22.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.13120510317096137,0.23860883712768555,0.068450927734375,,,23.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.14558149292053363,0.2594418525695801,0.07442903518676758,,,24.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.15937188024421853,0.2789802551269531,0.08001232147216797,,,25.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.1725255068040483,0.2972569465637207,0.08521246910095215,,,26.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.18501731794351328,0.31432294845581055,0.09004783630371094,,,27.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.19684136915360453,0.33024024963378906,0.09453940391540527,,,28.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.2080055383860123,0.3450770378112793,0.0987088680267334,,,29.0,
width_sweep,,,,,,,,,,,,,,,,,,,,0.2185273835706059,0.3589029312133789,0.10257959365844727,,,30.0,
shift_sweep,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0
